S/N,BRAND,MODEL,LOCATION,DATE ENTERED,OnHand
CNB2KCF660,SAMSUNG,SL-M4020,HO,2018-03-23 00:00:00,261.000000
PHCNF48602,HP,M402DN,HO,2018-04-02 00:00:00,46.000000
PHCNF49032,HP,M402DN,HO,2018-04-02 00:00:00,46.000000
PHCNF48612,HP,M402DN,HO,2018-04-02 00:00:00,46.000000
PHCNF49022,HP,M402DN,HO,2018-04-02 00:00:00,46.000000
PHCNF48594,HP,M402DN,HO,2018-04-02 00:00:00,46.000000
PHCNF49033,HP,M402DN,HO,2018-04-02 00:00:00,46.000000
PHCNF48592,HP,M402DN,HO,2018-04-02 00:00:00,46.000000
PHCNF48589,HP,M402DN,HO,2018-04-02 00:00:00,46.000000
ZDFJBJFJA0007AN,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000FFN,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0000DX,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000A3W,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000CLE,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000AQX,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000BHE,SAMSUNG,SL-M4070FR,DAV,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000CQH,SAMSUNG,SL-M4070FR,DAV,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000BMH,SAMSUNG,SL-M4070FR,DAV,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000CNK,SAMSUNG,SL-M4070FR,DAV,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000DAA,SAMSUNG,SL-M4070FR,DAV,2018-04-02 00:00:00,198.000000
ZDFJBJFJA00056B,SAMSUNG,SL-M4070FR,DAV,2018-04-02 00:00:00,198.000000
ZDFJBJFJA00065V,SAMSUNG,SL-M4070FR,DAV,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0006NP,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0005GL,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000B0K,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0008KY,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0007JM,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000BQB,SAMSUNG,SL-M4070FR,DAV,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000AST,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000ARY,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000CHZ,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000BPA,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0008JX,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000CWR,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000AYL,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA00057W,SAMSUNG,SL-M4070FR,BAC,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0005MV,SAMSUNG,SL-M4070FR,BAC,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0006GF,SAMSUNG,SL-M4070FR,ILO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0005ZF,SAMSUNG,SL-M4070FR,ILO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000B1V,SAMSUNG,SL-M4070FR,CEB,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000DHM,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000B6W,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000BNN,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0000EY,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0000NE,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000A2B,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA00084D,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000B5B,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000B7R,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000DDR,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA000CKJ,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
ZDFJBJFJA0008GW,SAMSUNG,SL-M4070FR,HO,2018-04-02 00:00:00,198.000000
VJLY071799,EPSON,L565,HO,2018-04-04 00:00:00,23.000000
VJLY071803,EPSON,L565,HO,2018-04-04 00:00:00,23.000000
VJLY071762,EPSON,L565,HO,2018-04-04 00:00:00,23.000000
X2SK009572,EPSON,L1455,HO,2018-04-04 00:00:00,14.000000
CN79PGY00J,HP,PRO577Z,HO,2018-04-10 00:00:00,5.000000
CN79PGY00G,HP,PRO577Z,HO,2018-04-10 00:00:00,5.000000
CN79PGY00C,HP,PRO577Z,HO,2018-04-10 00:00:00,5.000000
CN79PGY00Q,HP,PRO577Z,HO,2018-04-10 00:00:00,5.000000
CN832HX0WC,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX0ZW,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX10R,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX11J,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX0VQ,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX0VY,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX116,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX0X9,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX0WS,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX0Y0,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX0YH,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CN832HX0WF,HP,452DW,HO,2018-04-10 00:00:00,15.000000
CNC8K458YK,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNC8K45B02,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNC8K45966,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNC8K45B54,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNC8K4590W,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNC8K459KP,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNC8K459YQ,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNC8K459GW,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNC8K45B1F,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNC8K459N8,- No Manufacturer -,M725F,HO,2018-04-10 00:00:00,10.000000
CNB8L2S7VN,- No Manufacturer -,M608n,HO,2018-04-10 00:00:00,5.000000
CNB8L2S7SL,- No Manufacturer -,M608n,HO,2018-04-10 00:00:00,5.000000
CNB8L2S7SW,- No Manufacturer -,M608n,HO,2018-04-10 00:00:00,5.000000
CNB8L2S7S3,- No Manufacturer -,M608n,HO,2018-04-10 00:00:00,5.000000
CNB8L2S7VB,- No Manufacturer -,M608n,HO,2018-04-10 00:00:00,5.000000
MYPB837006,- No Manufacturer -,J7Z13A,HO,2018-04-10 00:00:00,1.000000
WQD09892,- No Manufacturer -,MF244DW,HO,2018-04-10 00:00:00,24.000000
WQD07720,- No Manufacturer -,MF244DW,HO,2018-04-10 00:00:00,24.000000
WQD09643,- No Manufacturer -,MF244DW,HO,2018-04-10 00:00:00,24.000000
WQD08106,- No Manufacturer -,MF244DW,HO,2018-04-10 00:00:00,24.000000
WQD08115,- No Manufacturer -,MF244DW,HO,2018-04-10 00:00:00,24.000000
WQD10019,- No Manufacturer -,MF244DW,HO,2018-04-10 00:00:00,24.000000
WQD09648,- No Manufacturer -,MF244DW,HO,2018-04-10 00:00:00,24.000000
CNB8K3W02G,- No Manufacturer -,Z8Z07A,HO,2018-04-10 00:00:00,3.000000
CNB3KD4GJX,SAMSUNG,SL-M4020,DAV,2018-04-10 00:00:00,261.000000
CNB3KD4GQH,SAMSUNG,SL-M4020,DAV,2018-04-10 00:00:00,261.000000
CNB3KD4GFD,SAMSUNG,SL-M4020,DAV,2018-04-10 00:00:00,261.000000
CNB3KD4GFW,SAMSUNG,SL-M4020,DAV,2018-04-10 00:00:00,261.000000
CNB3KD4GFV,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQV,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GK4,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GKT,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GPN,SAMSUNG,SL-M4020,CEB,2018-04-10 00:00:00,261.000000
CNB3KD4GFJ,SAMSUNG,SL-M4020,CEB,2018-04-10 00:00:00,261.000000
CNB3KD4GQN,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GK8,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GKD,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQQ,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQX,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQW,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQG,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GFC,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQF,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQD,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQS,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GFK,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GFN,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQP,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQL,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQK,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GF4,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GPD,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQ9,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GPH,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GP7,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GP6,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GNX,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GKL,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQ1,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GNJ,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GNT,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQM,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQ6,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GFG,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB2KCF65K,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GFM,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQT,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GQR,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GPG,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB3KD4GPF,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB2KCF65H,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB2KCF65P,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB2KCF65G,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
CNB2KCF66Q,SAMSUNG,SL-M4020,HO,2018-04-10 00:00:00,261.000000
ZDFJBJFJA000HWM,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000G5Y,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000G4X,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0006ET,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000GKA,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000G9D,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0006TA,SAMSUNG,SL-M4070FR,CEB,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000FZV,SAMSUNG,SL-M4070FR,CEB,2018-04-11 00:00:00,198.000000
ZDFJBJFJA00064K,SAMSUNG,SL-M4070FR,CEB,2018-04-11 00:00:00,198.000000
ZDFJBJFJA00054N,SAMSUNG,SL-M4070FR,CEB,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0006JZ,SAMSUNG,SL-M4070FR,CEB,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000AJH,SAMSUNG,SL-M4070FR,CEB,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0009LR,SAMSUNG,SL-M4070FR,CEB,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0005FZ,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0006HD,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000ALA,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000084D,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA00007JM,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0005XT,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000BFL,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000DEX,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000A8M,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0005WY,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0009JB,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000AGK,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000DFY,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000A1A,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000F3T,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0009KW,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000BKK,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000ATM,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000H0V,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000GNR,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0006FM,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000AFP,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0008SJ,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000BAT,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0005DF,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000GEP,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000GLB,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000GDE,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000D3J,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000GCJ,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0006AW,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA0006KL,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA00066H,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000GJN,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000FYK,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
ZDFJBJFJA000GVD,SAMSUNG,SL-M4070FR,HO,2018-04-11 00:00:00,198.000000
CNCKL2276H,HP,M521dw,HO,2018-04-11 00:00:00,21.000000
CNCKL227Z5,HP,M521dw,CEB,2018-04-11 00:00:00,21.000000
CNCKL22814,HP,M521dw,CEB,2018-04-11 00:00:00,21.000000
CNCKL22747,HP,M521dw,CEB,2018-04-11 00:00:00,21.000000
CNCKL22827,HP,M521dw,CEB,2018-04-11 00:00:00,21.000000
CNCKL227V6,HP,M521dw,CEB,2018-04-11 00:00:00,21.000000
PHCCR02517,HP,M506N,HO,2018-04-11 00:00:00,2.000000
PHCCR02516,HP,M506N,HO,2018-04-11 00:00:00,2.000000
WQS05994,CANON,MF237W,HO,2018-04-13 00:00:00,91.000000
WQS05903,CANON,MF237W,HO,2018-04-13 00:00:00,91.000000
WQS05970,CANON,MF237W,HO,2018-04-13 00:00:00,91.000000
WQS06001,CANON,MF237W,HO,2018-04-13 00:00:00,91.000000
WQS06354,CANON,MF237W,HO,2018-04-13 00:00:00,91.000000
WQS05914,CANON,MF237W,HO,2018-04-13 00:00:00,91.000000
WQS06479,CANON,MF237W,HO,2018-04-13 00:00:00,91.000000
WQS06355,CANON,MF237W,HO,2018-04-13 00:00:00,91.000000
WQS05913,CANON,MF237W,HO,2018-04-13 00:00:00,91.000000
NDMA845014,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA882450,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA844993,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA845008,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA873669,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA845011,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA844998,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA844927,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA940437,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA882454,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA883437,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA882437,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA882460,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA882435,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA940622,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA882448,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA882453,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA883440,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA883442,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA940126,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA940601,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA844978,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA882446,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA845003,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA845006,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA940562,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA882452,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA845005,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA844988,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA940443,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA845002,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA882447,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA882461,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA845015,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA844995,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA882449,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA844896,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA912347,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
NDMA940574,CANON,LBP2900,HO,2018-04-13 00:00:00,123.000000
MGQA611698,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
MGCA699034,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
NDMA317313,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
MGQA270464,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
MGQA265451,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
MGQA614527,CANON,LBP2900,BAC,2018-04-13 00:00:00,123.000000
CNFY286208,HP,P4015N,BAC,2018-04-13 00:00:00,15.000000
VJLY073768,EPSON,L565,HO,2018-04-13 00:00:00,23.000000
VJLY073770,EPSON,L565,HO,2018-04-13 00:00:00,23.000000
VJLY073767,EPSON,L565,HO,2018-04-13 00:00:00,23.000000
VJLY073765,EPSON,L565,HO,2018-04-13 00:00:00,23.000000
X2SK010563,EPSON,L1455,HO,2018-04-13 00:00:00,14.000000
X2SK010596,EPSON,L1455,HO,2018-04-13 00:00:00,14.000000
X2SK010528,EPSON,L1455,HO,2018-04-13 00:00:00,14.000000
X2SK010598,EPSON,L1455,HO,2018-04-13 00:00:00,14.000000
X2SK010565,EPSON,L1455,HO,2018-04-13 00:00:00,14.000000
X2SK009562,EPSON,L1455,HO,2018-04-13 00:00:00,14.000000
X2SK010592,EPSON,L1455,HO,2018-04-13 00:00:00,14.000000
X2SK010634,EPSON,L1455,HO,2018-04-13 00:00:00,14.000000
X2SK010600,EPSON,L1455,HO,2018-04-13 00:00:00,14.000000
VJLY069923,EPSON,L565,HO,2018-04-16 00:00:00,23.000000
VJLY069925,EPSON,L565,HO,2018-04-16 00:00:00,23.000000
VJLY069926,EPSON,L565,HO,2018-04-16 00:00:00,23.000000
VJLY069927,EPSON,L565,HO,2018-04-16 00:00:00,23.000000
VJLY069928,EPSON,L565,HO,2018-04-16 00:00:00,23.000000
VJLY069932,EPSON,L565,HO,2018-04-16 00:00:00,23.000000
VGFK356355,EPSON,L360,HO,2018-04-17 00:00:00,27.000000
VGFK356344,EPSON,L360,HO,2018-04-17 00:00:00,27.000000
VGFK356363,EPSON,L360,HO,2018-04-17 00:00:00,27.000000
VGFK356359,EPSON,L360,HO,2018-04-17 00:00:00,27.000000
X4FL005412,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
X4FL005388,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
X4FL005394,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
X4FL005406,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
X4FL005408,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
X4FL005409,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
X4FL005411,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
X4FL005371,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
X4FL005380,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
X4FL005382,- No Manufacturer -,C11CG49503,HO,2018-04-17 00:00:00,10.000000
VJLY072515,EPSON,L565,HO,2018-04-18 00:00:00,23.000000
VJLY072508,EPSON,L565,HO,2018-04-18 00:00:00,23.000000
VJLY072517,EPSON,L565,HO,2018-04-18 00:00:00,23.000000
VJLY072518,EPSON,L565,HO,2018-04-18 00:00:00,23.000000
VJLY072516,EPSON,L565,HO,2018-04-18 00:00:00,23.000000
Q7CY155927,- No Manufacturer -,C11CC24312,HO,2018-04-19 00:00:00,2.000000
Q7CY155950,- No Manufacturer -,C11CC24312,HO,2018-04-19 00:00:00,2.000000
WQD08599,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD08595,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD10028,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD08120,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD07642,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD07527,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD07910,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD08087,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD10022,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD09898,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD09895,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD07917,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
WQD10021,- No Manufacturer -,MF244DW,HO,2018-04-20 00:00:00,24.000000
